@ NAME             %8s "SSLTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*          TIME       I_SSL01    I_SSL10    I_SSL11    I_SSL12    I_SSL13    I_SSL14    I_SSL15    I_SSL16    I_SSL17    I_SSL18    I_SSL19    I_SSL02    I_SSL20    I_SSL21    I_SSL22    I_SSL23    I_SSL24    I_SSL03    I_SSL04    I_SSL05    I_SSL06    I_SSL07    I_SSL08    I_SSL09    
$          %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        
           12.440000  -6.712461e-01   -7.823301e-01   -8.018613e-01   -8.335996e-01   -5.882383e-01   -6.224180e-01   -7.164121e-01   -7.737852e-01   -9.556699e-01   -8.897520e-01   -1.230328e+00   -1.325543e+00   -1.085064e+00   -5.796934e-01   -1.039898e+00   -8.213926e-01   -9.507871e-01   -1.143658e+00   -1.008160e+00   -1.111920e+00   -7.725645e-01   -8.982969e-01   -8.702207e-01   -7.945371e-01   
           13.260000  -6.628905e-01   -7.739745e-01   -7.935058e-01   -8.252441e-01   -5.798827e-01   -6.140624e-01   -7.080566e-01   -7.654296e-01   -9.473144e-01   -8.813964e-01   -1.221973e+00   -1.317187e+00   -1.076709e+00   -5.713378e-01   -1.031543e+00   -8.130370e-01   -9.424316e-01   -1.135303e+00   -9.998046e-01   -1.103564e+00   -7.642089e-01   -8.899413e-01   -8.618651e-01   -7.861816e-01   
           14.080000  -6.528683e-01   -7.639523e-01   -7.834836e-01   -8.152218e-01   -5.698605e-01   -6.040402e-01   -6.980343e-01   -7.554074e-01   -9.372921e-01   -8.713742e-01   -1.211950e+00   -1.307165e+00   -1.066687e+00   -5.613156e-01   -1.021521e+00   -8.030148e-01   -9.324093e-01   -1.125280e+00   -9.897824e-01   -1.093542e+00   -7.541867e-01   -8.799191e-01   -8.518429e-01   -7.761593e-01   
           14.890000  -6.447461e-01   -7.558301e-01   -7.753613e-01   -8.070996e-01   -5.617383e-01   -5.959180e-01   -6.899121e-01   -7.472852e-01   -9.291699e-01   -8.632520e-01   -1.203828e+00   -1.299043e+00   -1.058564e+00   -5.531934e-01   -1.013398e+00   -7.948926e-01   -9.242871e-01   -1.117158e+00   -9.816602e-01   -1.085420e+00   -7.460645e-01   -8.717969e-01   -8.437207e-01   -7.680371e-01   
           15.700000  -6.359361e-01   -7.470201e-01   -7.665513e-01   -7.982896e-01   -5.529283e-01   -5.871080e-01   -6.811021e-01   -7.384752e-01   -9.203599e-01   -8.544420e-01   -1.195018e+00   -1.290233e+00   -1.049754e+00   -5.443834e-01   -1.004588e+00   -7.860826e-01   -9.154771e-01   -1.108348e+00   -9.728502e-01   -1.076610e+00   -7.372545e-01   -8.629869e-01   -8.349107e-01   -7.592271e-01   
           16.510000  -5.859461e-01   -6.970301e-01   -7.165613e-01   -7.482996e-01   -5.029383e-01   -5.371180e-01   -6.311121e-01   -6.884852e-01   -8.703699e-01   -8.044520e-01   -1.145028e+00   -1.240243e+00   -9.997645e-01   -4.943934e-01   -9.545984e-01   -7.360926e-01   -8.654871e-01   -1.058358e+00   -9.228602e-01   -1.026620e+00   -6.872645e-01   -8.129969e-01   -7.849207e-01   -7.092371e-01   
           17.310000  -5.139461e-01   -6.250301e-01   -6.445613e-01   -6.762996e-01   -4.309383e-01   -4.651180e-01   -5.591121e-01   -6.164852e-01   -7.983699e-01   -7.324520e-01   -1.073028e+00   -1.168243e+00   -9.277645e-01   -4.223934e-01   -8.825984e-01   -6.640926e-01   -7.934871e-01   -9.863582e-01   -8.508602e-01   -9.546199e-01   -6.152645e-01   -7.409969e-01   -7.129207e-01   -6.372371e-01   
           19.710000  9.895968e-01   8.785128e-01   8.589815e-01   8.272432e-01   1.072605e+00   1.038425e+00   9.444307e-01   8.870577e-01   7.051729e-01   7.710909e-01   4.305147e-01   3.352999e-01   5.757784e-01   1.081149e+00   6.209444e-01   8.394503e-01   7.100557e-01   5.171847e-01   6.526827e-01   5.489229e-01   8.882784e-01   7.625460e-01   7.906222e-01   8.663057e-01   
           20.510000  1.331606e+00   1.220522e+00   1.200991e+00   1.169252e+00   1.414614e+00   1.380434e+00   1.286440e+00   1.229067e+00   1.047182e+00   1.113100e+00   7.725239e-01   6.773090e-01   9.177875e-01   1.423159e+00   9.629536e-01   1.181459e+00   1.052065e+00   8.591938e-01   9.946918e-01   8.909321e-01   1.230288e+00   1.104555e+00   1.132631e+00   1.208315e+00   
           21.310000  1.420799e+00   1.309715e+00   1.290184e+00   1.258445e+00   1.503807e+00   1.469627e+00   1.375633e+00   1.318260e+00   1.136375e+00   1.202293e+00   8.617169e-01   7.665020e-01   1.006981e+00   1.512352e+00   1.052147e+00   1.270652e+00   1.141258e+00   9.483868e-01   1.083885e+00   9.801251e-01   1.319481e+00   1.193748e+00   1.221824e+00   1.297508e+00   
